 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
15.433, -0.028, 4.889, -0.37, 1001.94 
15.467, -0.038, 4.881, -0.384, 1001.81 
15.502, -0.037, 4.909, -0.39, 1001.76 
15.537, -0.043, 4.912, -0.384, 1001.85 
15.572, -0.049, 4.903, -0.38, 1001.92 
15.606, -0.026, 4.885, -0.386, 1001.99 
15.64, -0.036, 4.902, -0.398, 1001.91 
15.675, -0.028, 4.889, -0.395, 1001.88 
15.709, -0.037, 4.895, -0.392, 1001.94 
15.745, -0.041, 4.905, -0.388, 1002.03 
15.78, -0.044, 4.904, -0.39, 1001.84 
15.814, -0.037, 4.922, -0.398, 1002.0 
15.848, -0.028, 4.887, -0.392, 1001.87 
15.883, -0.02, 4.905, -0.395, 1001.95 
15.917, -0.039, 4.901, -0.384, 1001.74 
15.953, -0.039, 4.903, -0.39, 1001.95 
15.987, -0.03, 4.884, -0.396, 1001.71 
16.021, -0.037, 4.892, -0.386, 1001.71 
16.06, -0.042, 4.898, -0.384, 1001.99 
16.095, -0.037, 4.902, -0.38, 1001.92 
16.129, -0.036, 4.903, -0.384, 1001.84 
16.164, -0.03, 4.945, -0.416, 1001.84 
16.199, -0.032, 4.904, -0.347, 1001.79 
16.233, -0.037, 4.901, -0.361, 1001.91 
16.267, -0.047, 4.908, -0.398, 1001.8 
16.302, -0.037, 4.906, -0.379, 1001.79 
16.336, -0.035, 4.896, -0.409, 1001.89 
16.372, -0.033, 4.886, -0.382, 1001.95 
16.406, -0.032, 4.902, -0.373, 1001.82 
16.441, -0.036, 4.912, -0.392, 1001.87 
16.476, -0.037, 4.893, -0.383, 1001.96 
16.51, -0.041, 4.896, -0.373, 1001.95 
16.545, -0.041, 4.915, -0.386, 1001.79 
16.58, -0.036, 4.914, -0.391, 1001.86 
16.615, -0.023, 4.92, -0.398, 1001.93 
16.649, -0.033, 4.895, -0.392, 1002.01 
16.684, -0.03, 4.896, -0.373, 1001.79 
16.719, -0.033, 4.902, -0.386, 1001.97 
16.753, -0.042, 4.898, -0.382, 1001.91 
16.787, -0.032, 4.891, -0.39, 1001.87 
16.822, -0.029, 4.909, -0.402, 1001.95 
16.856, -0.038, 4.898, -0.388, 1001.84 
16.895, -0.042, 4.914, -0.391, 1001.76 
16.929, -0.038, 4.899, -0.382, 1002.11 
16.964, -0.043, 4.893, -0.385, 1001.83 
16.998, -0.031, 4.89, -0.388, 1001.96 
17.033, -0.03, 4.904, -0.395, 1002.02 
17.068, -0.031, 4.881, -0.386, 1001.77 
17.102, -0.03, 4.875, -0.386, 1001.91 
17.136, -0.032, 4.908, -0.385, 1001.99 
17.171, -0.035, 4.916, -0.38, 1001.77 
17.205, -0.029, 4.892, -0.383, 1002.0 
17.241, -0.033, 4.891, -0.406, 1002.07 
17.275, -0.05, 4.895, -0.395, 1001.76 
17.309, -0.044, 4.898, -0.388, 1002.04 
17.344, -0.038, 4.902, -0.378, 1001.94 
17.378, -0.03, 4.901, -0.395, 1001.95 
17.413, -0.041, 4.897, -0.394, 1001.98 
17.448, -0.031, 4.902, -0.384, 1001.93 
17.482, -0.032, 4.908, -0.397, 1002.04 
17.517, -0.025, 4.899, -0.391, 1001.78 
17.551, -0.039, 4.893, -0.388, 1001.85 
17.585, -0.033, 4.903, -0.39, 1002.19 
17.621, -0.047, 4.906, -0.392, 1001.82 
17.655, -0.039, 4.905, -0.39, 1001.85 
17.69, -0.028, 4.899, -0.395, 1001.86 
17.729, -0.029, 4.895, -0.386, 1001.67 
17.763, -0.032, 4.896, -0.389, 1001.76 
17.798, -0.037, 4.901, -0.389, 1001.62 
17.832, -0.048, 4.898, -0.384, 1001.92 
17.867, -0.036, 4.889, -0.394, 1002.0 
17.902, -0.03, 4.892, -0.383, 1001.8 
17.936, -0.041, 4.902, -0.389, 1001.83 
17.97, -0.025, 4.902, -0.406, 1001.95 
18.005, -0.028, 4.901, -0.385, 1001.94 
18.039, -0.041, 4.887, -0.374, 1001.72 
18.075, -0.035, 4.909, -0.385, 1001.78 
18.109, -0.038, 4.902, -0.386, 1002.1 
18.143, -0.029, 4.902, -0.402, 1002.02 
18.178, -0.03, 4.896, -0.406, 1001.84 
18.212, -0.037, 4.91, -0.385, 1001.91 
18.247, -0.036, 4.898, -0.383, 1001.8 
18.282, -0.035, 4.896, -0.383, 1001.75 
